"region","Gold_F","Gold_M","Silver_F","Silver_M","Bronze_F","Bronze_M","DNW_F","DNW_M"
"Bahrain",1,0,1,0,1,0,28,95
"Costa Rica",1,0,1,0,2,0,61,199
"Kosovo",1,0,0,0,0,0,4,3
"Liechtenstein",2,0,1,1,2,3,70,290
"Mozambique",1,0,0,0,1,0,21,55
"Puerto Rico",1,0,0,2,0,6,166,752
"Syria",1,0,0,2,0,2,16,258
"Zimbabwe",17,0,4,0,1,0,92,209
